id,rain,visibility,main,sys,weather,cod,wind,base,clouds,coord,name,dt,snow
5955902,,24140,"{'temp': -20, 'pressure': 1025, 'humidity': 76, 'temp_min': -20, 'temp_max': -20}","{'type': 1, 'id': 986, 'message': 0.0034, 'country': 'CA', 'sunrise': 1551194003, 'sunset': 1551231284}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 2.1, 'deg': 180}",stations,{'all': 40},"{'lon': -122.69, 'lat': 58.81}",Fort Nelson,1551196800,
3669549,,10000,"{'temp': 23, 'pressure': 1019, 'humidity': 73, 'temp_min': 23, 'temp_max': 23}","{'type': 1, 'id': 8610, 'message': 0.0038, 'country': 'CO', 'sunrise': 1551179838, 'sunset': 1551223087}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 1.5, 'deg': 260}",stations,{'all': 40},"{'lon': -76.23, 'lat': 4.97}",San Jose del Palmar,1551196800,
4666247,{'1h': 0.25},16093,"{'temp': 14.7, 'pressure': 1027, 'humidity': 36, 'temp_min': 13, 'temp_max': 16.11}","{'type': 1, 'id': 5884, 'message': 0.0043, 'country': 'US', 'sunrise': 1551183832, 'sunset': 1551224654}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",200,"{'speed': 1.49, 'deg': 165.503}",stations,{'all': 1},"{'lon': -87.76, 'lat': 35.32}",Waynesboro,1551199984,
2641434,,10000,"{'temp': 12.9, 'pressure': 1029, 'humidity': 71, 'temp_min': 11.11, 'temp_max': 16}","{'type': 1, 'id': 1472, 'message': 0.0045, 'country': 'GB', 'sunrise': 1551164821, 'sunset': 1551203587}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 3.6, 'deg': 130}",stations,{'all': 0},"{'lon': -4.21, 'lat': 51.04}",Northam,1551199882,
4013593,,16093,"{'temp': 15, 'pressure': 1017, 'humidity': 51, 'temp_min': 15, 'temp_max': 15}","{'type': 1, 'id': 7104, 'message': 0.0039, 'country': 'MX', 'sunrise': 1551188794, 'sunset': 1551230339}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 1.56, 'deg': 323.503}",stations,{'all': 20},"{'lon': -109.96, 'lat': 27.57}",Cocorit,1551195780,
3893629,,10000,"{'temp': 19, 'pressure': 1016, 'humidity': 72, 'temp_min': 19, 'temp_max': 19}","{'type': 1, 'id': 8514, 'message': 0.0033, 'country': 'CL', 'sunrise': 1551177273, 'sunset': 1551223273}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 6.2, 'deg': 250}",stations,{'all': 40},"{'lon': -71.34, 'lat': -29.95}",Coquimbo,1551196800,
3911925,,10000,"{'temp': 12, 'pressure': 1037, 'humidity': 62, 'temp_min': 12, 'temp_max': 12}","{'type': 1, 'id': 8648, 'message': 0.0049, 'country': 'BO', 'sunrise': 1551177115, 'sunset': 1551221933}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",200,"{'speed': 2.1, 'deg': 110}",stations,{'all': 75},"{'lon': -68.19, 'lat': -16.5}",El Alto,1551196800,
3778301,,,"{'temp': 30.58, 'pressure': 1013.29, 'humidity': 52, 'temp_min': 30.58, 'temp_max': 30.58, 'sea_level': 1013.29, 'grnd_level': 995.03}","{'message': 0.0058, 'country': 'VE', 'sunrise': 1551176930, 'sunset': 1551219842}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 5.34, 'deg': 76.5029}",stations,{'all': 0},"{'lon': -63.4, 'lat': 9.69}",La Candelaria,1551199991,
2067070,,10000,"{'temp': 23.16, 'pressure': 1016, 'humidity': 46, 'temp_min': 17.22, 'temp_max': 26.11}","{'type': 1, 'id': 9566, 'message': 0.0035, 'country': 'AU', 'sunrise': 1551126460, 'sunset': 1551173052}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",200,"{'speed': 2.6, 'deg': 310}",stations,{'all': 0},"{'lon': 139.16, 'lat': -34.85}",Palmer,1551199902,
4013704,,16093,"{'temp': 15, 'pressure': 1017, 'humidity': 51, 'temp_min': 15, 'temp_max': 15}","{'type': 1, 'id': 7104, 'message': 0.0028, 'country': 'MX', 'sunrise': 1551188804, 'sunset': 1551230353}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 1.56, 'deg': 323.503}",stations,{'all': 20},"{'lon': -110.01, 'lat': 27.52}",Laguna,1551195780,
3860443,,10000,"{'temp': 23, 'pressure': 1014, 'humidity': 33, 'temp_min': 23, 'temp_max': 23}","{'type': 1, 'id': 8284, 'message': 0.0039, 'country': 'AR', 'sunrise': 1551175346, 'sunset': 1551223322}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 5.7, 'deg': 230}",stations,{'all': 40},"{'lon': -67.48, 'lat': -45.87}",Comodoro Rivadavia,1551196800,
